,Precision,Recall,F1,Gmean,AUC
apache-ant-1.7.0.csv,0.777773457,0.482756956,0.595694888,0.693570792,0.939984674
apache-jmeter-2.10.csv,0.85915372,0.628865331,0.726140813,0.791263174,0.963829044
argouml.csv,0.704467112,0.903083303,0.791456252,0.933791956,0.985807248
columba-1.4-src.csv,0.815787327,0.794869757,0.805142725,0.889826122,0.997240078
emf-2.4.1.csv,0.599997,0.499997917,0.545402484,0.70473641,0.942203177
hibernate-distribution-3.3.2.GA.csv,0.886362629,0.772276463,0.825346192,0.872984216,0.953377946
jEdit-4.2.csv,0.899997,0.529410727,0.666618385,0.727034799,0.98783616
jfreechart-1.0.19.csv,0.784312188,0.740739369,0.761853355,0.856757274,0.98832495
jruby-1.4.0.csv,0.761904157,0.880733137,0.816970846,0.927419539,0.974203067
sql12.csv,0.71999856,0.654544264,0.685663097,0.806113069,0.970134559
,,,0.722028904,,
