,Precision,Recall,F1,Gmean,AUC
apache-ant-1.7.0.csv,0.588231834,0.370368999,0.454495976,0.606686523,0.880541589
apache-jmeter-2.10.csv,0.8518508,0.758240925,0.802274821,0.868473745,0.971070633
argouml.csv,0.666666433,0.879629222,0.758433683,0.919943808,0.982020712
columba-1.4-src.csv,0.744184316,0.820510717,0.780436023,0.903059169,0.978332127
emf-2.4.1.csv,0.727269422,0.615382249,0.66661424,0.782489504,0.950167504
hibernate-distribution-3.3.2.GA.csv,0.702380116,0.63440792,0.666616046,0.783408971,0.927002285
jEdit-4.2.csv,0.799997714,0.405796513,0.538415851,0.635842688,0.919987444
jfreechart-1.0.19.csv,0.812497461,0.509802922,0.626457138,0.712244014,0.959995492
jruby-1.4.0.csv,0.771738292,0.747367634,0.759307493,0.857466094,0.976793335
sql12.csv,0.654544264,0.620688585,0.637117053,0.783962426,0.968611962
,0.731936065,0.636219569,0.669016832,0.785357694,0.951452308
